identifier,name_en,scientific_name,major_group,isscaap_group,isscaap
2964,Roho labeo,Labeo rohita,PISCES,"Carps, barbels and other cyprinids",11
13055,Shorthead drum,Larimus breviceps,PISCES,Miscellaneous coastal fishes,33
10268,Shrimp scad,Alepes djedaba,PISCES,Miscellaneous pelagic fishes,37
13062,Forktail lates,Lates microlepis,PISCES,Miscellaneous freshwater fishes,13
13061,Bigeye lates,Lates mariae,PISCES,Miscellaneous freshwater fishes,13
13243,NA,Lophiosilurus alexandri,PISCES,Miscellaneous freshwater fishes,13
3293,Little tunny(=Atl.black skipj),Euthynnus alletteratus,PISCES,"Tunas, bonitos, billfishes",36
13059,Tanganyika lates,Lates angustifrons,PISCES,Miscellaneous freshwater fishes,13
13302,Silk snapper,Lutjanus vivanus,PISCES,Miscellaneous coastal fishes,33
13164,Thumbprint emperor,Lethrinus harak,PISCES,Miscellaneous coastal fishes,33
2104,Lake Tanganyika sardine,Limnothrissa miodon,PISCES,Miscellaneous freshwater fishes,13
3171,Atlantic emperor,Lethrinus atlanticus,PISCES,Miscellaneous coastal fishes,33
13167,Sky emperor,Lethrinus mahsena,PISCES,Miscellaneous coastal fishes,33
13166,Pink ear emperor,Lethrinus lentjan,PISCES,Miscellaneous coastal fishes,33
13300,Emperor red snapper,Lutjanus sebae,PISCES,Miscellaneous coastal fishes,33
13178,NA,Leuciscus cephaloides,PISCES,"Carps, barbels and other cyprinids",11
13179,Chub,Leuciscus cephalus,PISCES,"Carps, barbels and other cyprinids",11
13301,Brownstripe red snapper,Lutjanus vitta,PISCES,Miscellaneous coastal fishes,33
2318,African moonfish,Selene dorsalis,PISCES,Miscellaneous pelagic fishes,37
2537,Lumpfish(=Lumpsucker),Cyclopterus lumpus,PISCES,Miscellaneous demersal fishes,34
19044,Papuan black snapper,Lutjanus goldiei,PISCES,Miscellaneous coastal fishes,33
18897,Common bluestripe snapper,Lutjanus kasmira,PISCES,Miscellaneous coastal fishes,33
18871,Golden African snapper,Lutjanus fulgens,PISCES,Miscellaneous coastal fishes,33
18909,Orange-striped emperor,Lethrinus obsoletus,PISCES,Miscellaneous coastal fishes,33
19091,Pacific red snapper,Lutjanus peru,PISCES,Miscellaneous coastal fishes,33
18946,Five-lined snapper,Lutjanus quinquelineatus,PISCES,Miscellaneous coastal fishes,33
19037,Jobfishes nei,Pristipomoides spp,PISCES,Miscellaneous coastal fishes,33
18911,Yellowlip emperor,Lethrinus xanthochilus,PISCES,Miscellaneous coastal fishes,33
14398,Orbicular batfish,Platax orbicularis,PISCES,Miscellaneous coastal fishes,33
19140,Gars nei,Lepisosteidae,PISCES,Miscellaneous freshwater fishes,13
2947,Lanternfishes nei,Myctophidae,PISCES,Miscellaneous demersal fishes,34
6799,NA,Leporinus spp,PISCES,Miscellaneous freshwater fishes,13
3163,Large yellow croaker,Larimichthys croceus,PISCES,Miscellaneous coastal fishes,33
19128,Signal barb,Labiobarbus festivus,PISCES,"Carps, barbels and other cyprinids",11
19844,Abu mullet,Liza abu,PISCES,Miscellaneous coastal fishes,33
18864,Klunzinger's mullet,Liza klunzingeri,PISCES,Miscellaneous coastal fishes,33
2261,Leaping mullet,Liza saliens,PISCES,Miscellaneous coastal fishes,33
18731,Squaretail mullet,Liza vaigiensis,PISCES,Miscellaneous coastal fishes,33
3278,Blue mackerel,Scomber australasicus,PISCES,Miscellaneous pelagic fishes,37
13573,Black grouper,Mycteroperca bonaci,PISCES,Miscellaneous coastal fishes,33
2473,Atlantic mackerel,Scomber scombrus,PISCES,Miscellaneous pelagic fishes,37
10215,Spotted eagle ray,Aetobatus narinari,PISCES,"Sharks, rays, chimaeras",38
2695,Smooth mactra,Mactra glabrata,MOLLUSCA,"Clams, cockles, arkshells",56
