identifier,name_en,scientific_name,major_group,isscaap_group,isscaap
10183,Adriatic sturgeon,Acipenser naccarii,PISCES,"Sturgeons, paddlefishes",21
18786,Twobar seabream,Acanthopagrus bifasciatus,PISCES,Miscellaneous coastal fishes,33
10338,Bowfin,Amia calva,PISCES,Miscellaneous freshwater fishes,13
10180,Green sturgeon,Acipenser medirostris,PISCES,"Sturgeons, paddlefishes",21
10184,Fringebarbel sturgeon,Acipenser nudiventris,PISCES,"Sturgeons, paddlefishes",21
10411,Speckled longfin eel,Anguilla reinhardtii,PISCES,River eels,22
2621,Noble crayfish,Astacus astacus,CRUSTACEA,Freshwater crustaceans,41
2652,Red abalone,Haliotis rufescens,MOLLUSCA,"Abalones, winkles, conchs",52
3491,Giant abalone,Haliotis gigantea,MOLLUSCA,"Abalones, winkles, conchs",52
3490,Japanese abalone,Haliotis discus,MOLLUSCA,"Abalones, winkles, conchs",52
10120,White bream,Blicca bjoerkna,PISCES,"Carps, barbels and other cyprinids",11
2653,Perlemoen abalone,Haliotis midae,MOLLUSCA,"Abalones, winkles, conchs",52
3492,Blacklip abalone,Haliotis rubra,MOLLUSCA,"Abalones, winkles, conchs",52
3400,Northern brown shrimp,Penaeus aztecus,CRUSTACEA,"Shrimps, prawns",45
2651,Abalones nei,Haliotis spp,MOLLUSCA,"Abalones, winkles, conchs",52
3662,Small sandeel,Ammodytes tobianus,PISCES,Miscellaneous coastal fishes,33
2662,Inflated ark,Scapharca broughtonii,MOLLUSCA,"Clams, cockles, arkshells",56
2301,Ruffe,Gymnocephalus cernuus,PISCES,Miscellaneous freshwater fishes,13
2120,Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",23
10276,NA,Alestes baremoze,PISCES,Miscellaneous freshwater fishes,13
2422,Green terror,Aequidens rivulatus,PISCES,Tilapias and other cichlids,12
3426,Aesop shrimp,Pandalus montagui,CRUSTACEA,"Shrimps, prawns",45
10516,African forktail snapper,Apsilus fuscus,PISCES,Miscellaneous coastal fishes,33
17386,Pipi wedge clam,Paphies australis,MOLLUSCA,"Clams, cockles, arkshells",56
10244,Hooknose,Agonus cataphractus,PISCES,Miscellaneous coastal fishes,33
12481,Brown moray,Gymnothorax unicolor,PISCES,Miscellaneous coastal fishes,33
2750,American alligator,Alligator mississippiensis,"AMPHIBIA, REPTILIA",Crocodiles and alligators,73
2046,Angelshark,Squatina squatina,PISCES,"Sharks, rays, chimaeras",38
2344,Freshwater drum,Aplodinotus grunniens,PISCES,Miscellaneous freshwater fishes,13
10324,Spotted sardinella,Amblygaster sirm,PISCES,"Herrings, sardines, anchovies",35
10634,Mediterranean sand smelt,Atherina hepsetus,PISCES,Miscellaneous pelagic fishes,37
10125,Kinneret bleak,Acanthobrama terraesanctae,PISCES,"Carps, barbels and other cyprinids",11
18636,Glassfishes,Ambassidae,PISCES,Miscellaneous coastal fishes,33
18543,Babberlocks,Alaria esculenta,PLANTAE AQUATICAE,Brown seaweeds,91
18787,Mountain mullet,Agonostomus monticola,PISCES,Miscellaneous coastal fishes,33
10316,Rock bass,Ambloplites rupestris,PISCES,Miscellaneous freshwater fishes,13
3428,Akiami paste shrimp,Acetes japonicus,CRUSTACEA,"Shrimps, prawns",45
3121,Alexandria pompano,Alectis alexandrinus,PISCES,Miscellaneous pelagic fishes,37
2496,Albacore,Thunnus alalunga,PISCES,"Tunas, bonitos, billfishes",36
2923,Baird's slickhead,Alepocephalus bairdii,PISCES,Miscellaneous demersal fishes,34
2081,Alewife,Alosa pseudoharengus,PISCES,Shads,24
2248,Alfonsinos nei,Beryx spp,PISCES,Miscellaneous demersal fishes,34
2111,Slickheads nei,Alepocephalus spp,PISCES,Miscellaneous demersal fishes,34
15781,Longspine burrfish,Tragulichthys jaculiferus,PISCES,Miscellaneous coastal fishes,33
3017,Alaska pollock(=Walleye poll.),Theragra chalcogramma,PISCES,"Cods, hakes, haddocks",32
2254,Warty dory,Allocyttus verrucosus,PISCES,Miscellaneous demersal fishes,34
2543,Alaska plaice,Pleuronectes quadrituberculat.,PISCES,"Flounders, halibuts, soles",31
2155,Bleak,Alburnus alburnus,PISCES,"Carps, barbels and other cyprinids",11
2008,Thresher,Alopias vulpinus,PISCES,"Sharks, rays, chimaeras",38
10272,Long snouted lancetfish,Alepisaurus ferox,PISCES,Miscellaneous coastal fishes,33
3119,Greater amberjack,Seriola dumerili,PISCES,Miscellaneous pelagic fishes,37
2321,Japanese amberjack,Seriola quinqueradiata,PISCES,Miscellaneous pelagic fishes,37
2576,Brine shrimp,Artemia salina,CRUSTACEA,Miscellaneous marine crustaceans,47
2320,Amberjacks nei,Seriola spp,PISCES,Miscellaneous pelagic fishes,37
2916,Argentine anchovy,Engraulis anchoita,PISCES,"Herrings, sardines, anchovies",35
2919,Southern African anchovy,Engraulis capensis,PISCES,"Herrings, sardines, anchovies",35
2106,European anchovy,Engraulis encrasicolus,PISCES,"Herrings, sardines, anchovies",35
2570,Anglerfishes nei,Lophiidae,PISCES,Miscellaneous demersal fishes,34
3380,American angler,Lophius americanus,PISCES,Miscellaneous demersal fishes,34
2450,Mackerel icefish,Champsocephalus gunnari,PISCES,Miscellaneous demersal fishes,34
2571,Blackbellied angler,Lophius budegassa,PISCES,Miscellaneous demersal fishes,34
3176,Annular seabream,Diplodus annularis,PISCES,Miscellaneous coastal fishes,33
2922,Atlantic sabretooth anchovy,Lycengraulis grossidens,PISCES,Shads,24
3244,Antarctic silverfish,Pleuragramma antarcticum,PISCES,Miscellaneous coastal fishes,33
2216,Blue antimora,Antimora rostrata,PISCES,"Cods, hakes, haddocks",32
2426,Angelfishes nei,Pomacanthidae,PISCES,Miscellaneous coastal fishes,33
2105,"Anchovies, etc. nei",Engraulidae,PISCES,"Herrings, sardines, anchovies",35
11956,Painted eel,Echelus myrus,PISCES,Miscellaneous coastal fishes,33
2879,Siberian sturgeon,Acipenser baerii,PISCES,"Sturgeons, paddlefishes",21
2071,Starry sturgeon,Acipenser stellatus,PISCES,"Sturgeons, paddlefishes",21
2877,Danube sturgeon(=Osetr),Acipenser gueldenstaedtii,PISCES,"Sturgeons, paddlefishes",21
10448,Intermediate scabbardfish,Aphanopus intermedius,PISCES,Miscellaneous demersal fishes,34
3642,Aquatic plants nei,Plantae aquaticae,PLANTAE AQUATICAE,Miscellaneous aquatic plants,94
2878,White sturgeon,Acipenser transmontanus,PISCES,"Sturgeons, paddlefishes",21
2296,"Cardinalfishes, etc. nei",Apogonidae,PISCES,Miscellaneous coastal fishes,33
2070,Sterlet sturgeon,Acipenser ruthenus,PISCES,"Sturgeons, paddlefishes",21
3402,Northern pink shrimp,Penaeus duorarum,CRUSTACEA,"Shrimps, prawns",45
11086,NA,Caquetaia kraussii,PISCES,Tilapias and other cichlids,12
18772,Black corals and thorny corals,Antipatharia,INVERTEBRATA AQUATICA,Corals,82
3422,Blue and red shrimp,Aristeus antennatus,CRUSTACEA,"Shrimps, prawns",45
3356,Arrowtooth flounder,Atheresthes stomias,PISCES,"Flounders, halibuts, soles",31
2131,Argentines,Argentina spp,PISCES,Miscellaneous demersal fishes,34
10195,Copper mahseer,Neolissochilus hexagonolepis,PISCES,"Carps, barbels and other cyprinids",11
3420,Aristeid shrimps nei,Aristeidae,CRUSTACEA,"Shrimps, prawns",45
3501,Ark clams nei,Arca spp,MOLLUSCA,"Clams, cockles, arkshells",56
2945,Arapaima,Arapaima gigas,PISCES,Miscellaneous freshwater fishes,13
10450,Rusty jobfish,Aphareus rutilans,PISCES,Miscellaneous coastal fishes,33
2602,Giant red shrimp,Aristaeomorpha foliacea,CRUSTACEA,"Shrimps, prawns",45
10536,Greater argentine,Argentina silus,PISCES,Miscellaneous demersal fishes,34
2603,Striped red shrimp,Aristeus varidens,CRUSTACEA,"Shrimps, prawns",45
10537,Argentine,Argentina sphyraena,PISCES,Miscellaneous demersal fishes,34
3131,Australian salmon,Arripis trutta,PISCES,Miscellaneous coastal fishes,33
2890,Allis shad,Alosa alosa,PISCES,Shads,24
2601,Argentine stiletto shrimp,Artemesia longinaris,CRUSTACEA,"Shrimps, prawns",45
2842,"Angelsharks, sand devils nei",Squatinidae,PISCES,"Sharks, rays, chimaeras",38
3632,North Atlantic rockweed,Ascophyllum nodosum,PLANTAE AQUATICAE,Brown seaweeds,91
2896,Caspian shads,Caspialosa spp,PISCES,Shads,24
3640,Harpoon seaweeds,Asparagopsis spp,PLANTAE AQUATICAE,Red seaweeds,92
2421,Velvety cichlids,Astronotus spp,PISCES,Tilapias and other cichlids,12
2171,Asp,Aspius aspius,PISCES,"Carps, barbels and other cyprinids",11
10515,Black snapper,Apsilus dentatus,PISCES,Miscellaneous coastal fishes,33
2263,Big-scale sand smelt,Atherina boyeri,PISCES,Miscellaneous pelagic fishes,37
2534,Okhotsk atka mackerel,Pleurogrammus azonus,PISCES,Miscellaneous coastal fishes,33
18775,Sea anemones,Actiniaria,INVERTEBRATA AQUATICA,Corals,82
10654,NA,Auchenoglanis biscutatus,PISCES,Miscellaneous freshwater fishes,13
10655,Bubu,Auchenoglanis occidentalis,PISCES,Miscellaneous freshwater fishes,13
3457,White-clawed crayfish,Austropotamobius pallipes,CRUSTACEA,Freshwater crustaceans,41
10566,Giant catfish,Netuma thalassina,PISCES,Miscellaneous coastal fishes,33
2108,Atlantic anchoveta,Cetengraulis edentulus,PISCES,"Herrings, sardines, anchovies",35
18788,Western Atlantic seabream,Archosargus rhomboidalis,PISCES,Miscellaneous coastal fishes,33
18959,Sohal surgeonfish,Acanthurus sohal,PISCES,Miscellaneous coastal fishes,33
10484,Green jobfish,Aprion virescens,PISCES,Miscellaneous coastal fishes,33
3158,Geelbek croaker,Atractoscion aequidens,PISCES,Miscellaneous coastal fishes,33
19142,Tarek,Chalcalburnus tarichi,PISCES,"Carps, barbels and other cyprinids",11
19184,NA,Arius spp,PISCES,Miscellaneous coastal fishes,33
10625,Banded astyanax,Astyanax fasciatus,PISCES,Miscellaneous freshwater fishes,13
19010,Crucifix sea catfish,Arius proops,PISCES,Miscellaneous coastal fishes,33
19329,Aristeus shrimps nei,Aristeus spp,CRUSTACEA,"Shrimps, prawns",45
3459,Australian crayfish,Euastacus armatus,CRUSTACEA,Freshwater crustaceans,41
3441,Euro-American crayfishes nei,"Astacidae, Cambaridae",CRUSTACEA,Freshwater crustaceans,41
10096,Diamondback terrapin,Malaclemys terrapin,"AMPHIBIA, REPTILIA",Turtles,72
15383,Pickhandle barracuda,Sphyraena jello,PISCES,Miscellaneous pelagic fishes,37
10118,Flat needlefish,Ablennes hians,PISCES,Miscellaneous pelagic fishes,37
3350,Bastard halibut,Paralichthys olivaceus,PISCES,"Flounders, halibuts, soles",31
2286,Japanese seabass,Lateolabrax japonicus,PISCES,Miscellaneous coastal fishes,33
3003,Ballyhoo halfbeak,Hemiramphus brasiliensis,PISCES,Miscellaneous pelagic fishes,37
2862,McCain's skate,Bathyraja maccaini,PISCES,"Sharks, rays, chimaeras",38
16089,Sawtooth barracuda,Sphyraena putnamae,PISCES,Miscellaneous pelagic fishes,37
3083,Peruvian rock seabass,Paralabrax humeralis,PISCES,Miscellaneous coastal fishes,33
2255,Barracudas nei,Sphyraena spp,PISCES,Miscellaneous pelagic fishes,37
2283,Combers nei,Serranus spp,PISCES,Miscellaneous coastal fishes,33
2406,Batfishes,Platax spp,PISCES,Miscellaneous coastal fishes,33
2472,Australian bonito,Sarda australis,PISCES,"Tunas, bonitos, billfishes",36
2540,Bastard halibuts nei,Paralichthys spp,PISCES,"Flounders, halibuts, soles",31
10348,Bocon toadfish,Amphichthys cryptocentrus,PISCES,Miscellaneous coastal fishes,33
10719,Velvet whalefish,Barbourisia rufa,PISCES,Miscellaneous demersal fishes,34
2082,Blueback shad,Alosa aestivalis,PISCES,Shads,24
10727,Algerian barb,Barbus callensis,PISCES,"Carps, barbels and other cyprinids",11
2486,Broad-barred king mackerel,Scomberomorus semifasciatus,PISCES,"Tunas, bonitos, billfishes",36
10715,NA,Barbodes balleroides,PISCES,"Carps, barbels and other cyprinids",11
3331,Black scorpionfish,Scorpaena porcus,PISCES,Miscellaneous demersal fishes,34
10724,Ripon barbel,Barbus altianalis,PISCES,"Carps, barbels and other cyprinids",11
18177,Blainville's beaked whale,Mesoplodon densirostris,MAMMALIA,"Sperm-whales, pilot-whales",62
18822,NA,Barbus cyclolepis,PISCES,"Carps, barbels and other cyprinids",11
3059,Argentinian silverside,Odontesthes bonariensis,PISCES,Miscellaneous freshwater fishes,13
10966,NA,Brycinus leuciscus,PISCES,Miscellaneous freshwater fishes,13
2701,Butter clam,Saxidomus giganteus,MOLLUSCA,"Clams, cockles, arkshells",56
2148,Dorada,Brycon moorei,PISCES,Miscellaneous freshwater fishes,13
11398,Kibonde,Chrysichthys brachynema,PISCES,Miscellaneous freshwater fishes,13
18174,Cuvier's beaked whale,Ziphius cavirostris,MAMMALIA,"Sperm-whales, pilot-whales",62
3161,Black drum,Pogonias cromis,PISCES,Miscellaneous coastal fishes,33
18187,Andrews' beaked whale,Mesoplodon bowdoini,MAMMALIA,"Sperm-whales, pilot-whales",62
2059,Eaton's skate,Bathyraja eatonii,PISCES,"Sharks, rays, chimaeras",38
3339,Latchet(=Sharpbeak gurnard),Pterygotrigla polyommata,PISCES,Miscellaneous demersal fishes,34
18626,Frostfishes,Benthodesmus spp,PISCES,Miscellaneous demersal fishes,34
10924,Giant cichlid,Boulengerochromis microlepis,PISCES,Tilapias and other cichlids,12
2741,White whale,Delphinapterus leucas,MAMMALIA,"Sperm-whales, pilot-whales",62
10686,Gafftopsail sea catfish,Bagre marinus,PISCES,Miscellaneous coastal fishes,33
2997,"Needlefishes, etc. nei",Belonidae,PISCES,Miscellaneous pelagic fishes,37
3275,Eastern Pacific bonito,Sarda chiliensis,PISCES,"Tunas, bonitos, billfishes",36
2498,Bigeye tuna,Thunnus obesus,PISCES,"Tunas, bonitos, billfishes",36
2735,Baird's beaked whale,Berardius bairdii,MAMMALIA,"Sperm-whales, pilot-whales",62
6817,Great blue spotted mudskipper,Boleophthalmus pectinirostris,PISCES,Miscellaneous coastal fishes,33
19019,Tinfoil barb,Barbonymus schwanenfeldii,PISCES,"Carps, barbels and other cyprinids",11
3296,Atlantic bluefin tuna,Thunnus thynnus,PISCES,"Tunas, bonitos, billfishes",36
6540,Bubble gum coral,Paragorgia arborea,INVERTEBRATA AQUATICA,Corals,82
10693,Bayad,Bagrus bajad,PISCES,Miscellaneous freshwater fishes,13
3146,Bastard grunt,Pomadasys incisus,PISCES,Miscellaneous coastal fishes,33
18184,Gervais' beaked whale,Mesoplodon europaeus,MAMMALIA,"Sperm-whales, pilot-whales",62
2213,Balao halfbeak,Hemiramphus balao,PISCES,Miscellaneous pelagic fishes,37
12540,Lusitanian toadfish,Halobatrachus didactylus,PISCES,Miscellaneous coastal fishes,33
3656,Skinnycheek lanternfish,Benthosema pterotum,PISCES,Miscellaneous demersal fishes,34
2861,Bathyraja rays nei,Bathyraja spp,PISCES,"Sharks, rays, chimaeras",38
2235,Pouting(=Bib),Trisopterus luscus,PISCES,"Cods, hakes, haddocks",32
2965,Bighead carp,Hypophthalmichthys nobilis,PISCES,"Carps, barbels and other cyprinids",11
2295,Bigeyes nei,Priacanthus spp,PISCES,Miscellaneous coastal fishes,33
3300,"Marlins,sailfishes,etc. nei",Istiophoridae,PISCES,"Tunas, bonitos, billfishes",36
3274,Striped bonito,Sarda orientalis,PISCES,"Tunas, bonitos, billfishes",36
3091,Red bigeye,Priacanthus macracanthus,PISCES,Miscellaneous coastal fishes,33
2326,Bigeye scad,Selar crumenophthalmus,PISCES,Miscellaneous pelagic fishes,37
18189,Stejneger's beaked whale,Mesoplodon stejnegeri,MAMMALIA,"Sperm-whales, pilot-whales",62
2970,Black carp,Mylopharyngodon piceus,PISCES,"Carps, barbels and other cyprinids",11
2493,Black skipjack,Euthynnus lineatus,PISCES,"Tunas, bonitos, billfishes",36
16448,Monkey river prawn,Macrobrachium lar,CRUSTACEA,Freshwater crustaceans,41
2504,Blue butterfish,Stromateus fiatola,PISCES,Miscellaneous pelagic fishes,37
3503,Blood cockle,Anadara granosa,MOLLUSCA,"Clams, cockles, arkshells",56
3251,Combtooth blennies,Blenniidae,PISCES,Miscellaneous coastal fishes,33
3297,Blackfin tuna,Thunnus atlanticus,PISCES,"Tunas, bonitos, billfishes",36
2221,Blue ling,Molva dypterygia,PISCES,"Cods, hakes, haddocks",32
2562,Brill,Scophthalmus rhombus,PISCES,"Flounders, halibuts, soles",31
2500,Black marlin,Makaira indica,PISCES,"Tunas, bonitos, billfishes",36
2436,Patagonian blennie,Eleginops maclovinus,PISCES,Miscellaneous coastal fishes,33
2663,Anadara clams nei,Anadara spp,MOLLUSCA,"Clams, cockles, arkshells",56
2492,Bullet tuna,Auxis rochei,PISCES,"Tunas, bonitos, billfishes",36
3102,Bluefish,Pomatomus saltatrix,PISCES,Miscellaneous pelagic fishes,37
10704,Queen triggerfish,Balistes vetula,PISCES,Miscellaneous coastal fishes,33
2744,Blue whale,Balaenoptera musculus,MAMMALIA,"Blue-whales, fin-whales",61
10898,Green humphead parrotfish,Bolbometopon muricatum,PISCES,Miscellaneous coastal fishes,33
2863,Murray's skate,Bathyraja murrayi,PISCES,"Sharks, rays, chimaeras",38
19038,Clown loach,Chromobotia macracanthus,PISCES,"Carps, barbels and other cyprinids",11
18168,Bowhead whale,Balaena mysticetus,MAMMALIA,"Blue-whales, fin-whales",61
19130,NA,Mystus nigriceps,PISCES,Miscellaneous freshwater fishes,13
10970,NA,Brycon cephalus,PISCES,Miscellaneous freshwater fishes,13
2884,Longfin bonefish,Pterothrissus belloci,PISCES,Miscellaneous coastal fishes,33
10977,NA,Brycon orbignyanus,PISCES,Miscellaneous freshwater fishes,13
19056,Machaca,Brycon guatemalensis,PISCES,Miscellaneous freshwater fishes,13
2095,Bonga shad,Ethmalosa fimbriata,PISCES,"Herrings, sardines, anchovies",35
2600,Atlantic seabob,Xiphopenaeus kroyeri,CRUSTACEA,"Shrimps, prawns",45
3045,Boarfish,Capros aper,PISCES,Miscellaneous demersal fishes,34
2253,Black oreo,Allocyttus niger,PISCES,Miscellaneous demersal fishes,34
2076,Bonefish,Albula vulpes,PISCES,Miscellaneous coastal fishes,33
2385,Bogue,Boops boops,PISCES,Miscellaneous coastal fishes,33
2471,Atlantic bonito,Sarda sarda,PISCES,"Tunas, bonitos, billfishes",36
2474,Plain bonito,Orcynopsis unicolor,PISCES,"Tunas, bonitos, billfishes",36
2251,Boarfishes nei,Caproidae,PISCES,Miscellaneous demersal fishes,34
2582,Pacific seabobs,"Xiphopenaeus, Trachypenaeus spp",CRUSTACEA,"Shrimps, prawns",45
18207,Boto,Inia geoffrensis,MAMMALIA,"Sperm-whales, pilot-whales",62
3589,Northern bottlenose whale,Hyperoodon ampullatus,MAMMALIA,"Sperm-whales, pilot-whales",62
17735,Purple dye murex,Bolinus brandaris,MOLLUSCA,"Abalones, winkles, conchs",52
14748,Atlantic fanfish,Pterycombus brama,PISCES,Miscellaneous pelagic fishes,37
10940,Kumakuma,Brachyplatystoma filamentosum,PISCES,Miscellaneous freshwater fishes,13
3205,Blotched picarel,Spicara maena,PISCES,Miscellaneous coastal fishes,33
10943,Laulao catfish,Brachyplatystoma vaillanti,PISCES,Miscellaneous freshwater fishes,13
2376,Black seabream,Spondyliosoma cantharus,PISCES,Miscellaneous coastal fishes,33
2461,Bearded brotula,Brotula barbata,PISCES,Miscellaneous demersal fishes,34
2528,Blackbelly rosefish,Helicolenus dactylopterus,PISCES,Miscellaneous demersal fishes,34
2342,Barred grunt,Conodon nobilis,PISCES,Miscellaneous coastal fishes,33
2022,Copper shark,Carcharhinus brachyurus,PISCES,"Sharks, rays, chimaeras",38
18231,Burmeister's porpoise,Phocoena spinipinnis,MAMMALIA,"Sperm-whales, pilot-whales",62
3286,Serra Spanish mackerel,Scomberomorus brasiliensis,PISCES,"Tunas, bonitos, billfishes",36
10906,Snaggletooth,Borostomias antarcticus,PISCES,Miscellaneous demersal fishes,34
16087,Southern rays bream,Brama australis,PISCES,Miscellaneous pelagic fishes,37
3599,Bryde's whale,Balaenoptera edeni,MAMMALIA,"Blue-whales, fin-whales",61
3128,"Pomfrets, ocean breams nei",Bramidae,PISCES,Miscellaneous pelagic fishes,37
3079,Black seabass,Centropristis striata,PISCES,Miscellaneous coastal fishes,33
3189,Bluespotted seabream,Pagrus caeruleostictus,PISCES,Miscellaneous coastal fishes,33
2290,Seabasses nei,Dicentrarchus spp,PISCES,Miscellaneous coastal fishes,33
2469,Black scabbardfish,Aphanopus carbo,PISCES,Miscellaneous demersal fishes,34
2018,Blue shark,Prionace glauca,PISCES,"Sharks, rays, chimaeras",38
2005,Basking shark,Cetorhinus maximus,PISCES,"Sharks, rays, chimaeras",38
2508,Warehou nei,Seriolella spp,PISCES,Miscellaneous demersal fishes,34
2090,Brazilian sardinella,Sardinella brasiliensis,PISCES,"Herrings, sardines, anchovies",35
2291,European seabass,Dicentrarchus labrax,PISCES,Miscellaneous coastal fishes,33
3069,"Groupers, seabasses nei",Serranidae,PISCES,Miscellaneous coastal fishes,33
3081,Argentine seabass,Acanthistius brasilianus,PISCES,Miscellaneous coastal fishes,33
3312,Gulf butterfishes nei,Peprilus spp,PISCES,Miscellaneous pelagic fishes,37
2795,Bigeye thresher,Alopias superciliosus,PISCES,"Sharks, rays, chimaeras",38
15861,Hound needlefish,Tylosurus crocodilus,PISCES,Miscellaneous pelagic fishes,37
2325,Atlantic bumper,Chloroscombrus chrysurus,PISCES,Miscellaneous pelagic fishes,37
2949,Bombay-duck,Harpadon nehereus,PISCES,Miscellaneous coastal fishes,33
10740,Mediterranean barbel,Barbus meridionalis,PISCES,"Carps, barbels and other cyprinids",11
2954,Buffalofishes nei,Ictiobus spp,PISCES,"Carps, barbels and other cyprinids",11
2489,Butterfly kingfish,Gasterochisma melampus,PISCES,"Tunas, bonitos, billfishes",36
3303,Blue marlin,Makaira nigricans,PISCES,"Tunas, bonitos, billfishes",36
3320,Pacific rudderfish,Psenopsis anomala,PISCES,Miscellaneous demersal fishes,34
2341,Sompat grunt,Pomadasys jubelini,PISCES,Miscellaneous coastal fishes,33
3313,Atlantic butterfish,Peprilus triacanthus,PISCES,Miscellaneous pelagic fishes,37
3309,"Butterfishes, pomfrets nei",Stromateidae,PISCES,Miscellaneous pelagic fishes,37
19225,NA,Brycon dentex,PISCES,Miscellaneous freshwater fishes,13
19030,Channel bull blenny,Cottoperca gobio,PISCES,Miscellaneous coastal fishes,33
3319,Bluenose warehou,Hyperoglyphe antarctica,PISCES,Miscellaneous demersal fishes,34
18210,White-beaked dolphin,Lagenorhynchus albirostris,MAMMALIA,"Sperm-whales, pilot-whales",62
18183,Sowerby's beaked whale,Mesoplodon bidens,MAMMALIA,"Sperm-whales, pilot-whales",62
10871,Alfonsino,Beryx decadactylus,PISCES,Miscellaneous demersal fishes,34
18573,Boxfishes nei,Ostraciidae,PISCES,Miscellaneous coastal fishes,33
6810,NA,Brycon spp,PISCES,Miscellaneous freshwater fishes,13
6818,NA,Brycon hilarii,PISCES,Miscellaneous freshwater fishes,13
20448,NA,Brachyplatystoma rousseauxii,PISCES,Miscellaneous freshwater fishes,13
3084,Silver perch,Bidyanus bidyanus,PISCES,Miscellaneous freshwater fishes,13
10813,Dark-belly skate,Bathyraja meridionalis,PISCES,"Sharks, rays, chimaeras",38
10809,Kerguelen sandpaper skate,Bathyraja irrasa,PISCES,"Sharks, rays, chimaeras",38
3040,Splendid alfonsino,Beryx splendens,PISCES,Miscellaneous demersal fishes,34
19253,Broadnose skate,Bathyraja brachyurops,PISCES,"Sharks, rays, chimaeras",38
19842,Nurse tetra,Brycinus nurse,PISCES,Miscellaneous freshwater fishes,13
6819,NA,Brycon amazonicus,PISCES,Miscellaneous freshwater fishes,13
19254,Patagonian skate,Bathyraja macloviana,PISCES,"Sharks, rays, chimaeras",38
2456,Atlantic wolffish,Anarhichas lupus,PISCES,Miscellaneous demersal fishes,34
3253,Northern wolffish,Anarhichas denticulatus,PISCES,Miscellaneous demersal fishes,34
2183,Eeltail catfishes,Plotosus spp,PISCES,Miscellaneous coastal fishes,33
2976,Catfishes nei,Ictalurus spp,PISCES,Miscellaneous freshwater fishes,13
2185,Glass catfishes,Kryptopterus spp,PISCES,Miscellaneous freshwater fishes,13
2873,"Elephantfishes, etc. nei",Callorhinchidae,PISCES,"Sharks, rays, chimaeras",38
3608,Spectacled caiman,Caiman crocodilus,"AMPHIBIA, REPTILIA",Crocodiles and alligators,73
2631,Callinectes swimcrabs nei,Callinectes spp,CRUSTACEA,"Crabs, sea-spiders",42
2975,Naked catfishes,Bagrus spp,PISCES,Miscellaneous freshwater fishes,13
2126,Capelin,Mallotus villosus,PISCES,Miscellaneous pelagic fishes,37
2457,Spotted wolffish,Anarhichas minor,PISCES,Miscellaneous demersal fishes,34
3252,Wolffishes(=Catfishes) nei,Anarhichas spp,PISCES,Miscellaneous demersal fishes,34
2774,Caulerpa seaweeds,Caulerpa spp,PLANTAE AQUATICAE,Green seaweeds,93
2181,Sea catfishes nei,Ariidae,PISCES,Miscellaneous coastal fishes,33
2304,Cobia,Rachycentron canadum,PISCES,Miscellaneous pelagic fishes,37
11224,Red bandfish,Cepola macrophthalma,PISCES,Miscellaneous demersal fishes,34
11049,Jolthead porgy,Calamus bajonado,PISCES,Miscellaneous coastal fishes,33
3149,Brown meagre,Sciaena umbra,PISCES,Miscellaneous coastal fishes,33
2284,Comber,Serranus cabrilla,PISCES,Miscellaneous coastal fishes,33
2194,Philippine catfish,Clarias batrachus,PISCES,Miscellaneous freshwater fishes,13
2023,Spinner shark,Carcharhinus brevipinna,PISCES,"Sharks, rays, chimaeras",38
11128,Whitecheek shark,Carcharhinus dussumieri,PISCES,"Sharks, rays, chimaeras",38
2812,Bull shark,Carcharhinus leucas,PISCES,"Sharks, rays, chimaeras",38
2808,Blacktip shark,Carcharhinus limbatus,PISCES,"Sharks, rays, chimaeras",38
2809,Blacknose shark,Carcharhinus acronotus,PISCES,"Sharks, rays, chimaeras",38
2816,Finetooth shark,Carcharhinus isodon,PISCES,"Sharks, rays, chimaeras",38
2807,Sandbar shark,Carcharhinus plumbeus,PISCES,"Sharks, rays, chimaeras",38
11134,Spottail shark,Carcharhinus sorrah,PISCES,"Sharks, rays, chimaeras",38
2020,Smalltail shark,Carcharhinus porosus,PISCES,"Sharks, rays, chimaeras",38
2815,Night shark,Carcharhinus signatus,PISCES,"Sharks, rays, chimaeras",38
2006,Sand tiger shark,Carcharias taurus,PISCES,"Sharks, rays, chimaeras",38
11936,Threadfin shad,Dorosoma petenense,PISCES,Shads,24
3615,Midway deep-sea coral,Corallium sp. nov.,INVERTEBRATA AQUATICA,Corals,82
3092,Cardinal fishes nei,Epigonus spp,PISCES,Miscellaneous demersal fishes,34
11148,River carpsucker,Carpiodes carpio,PISCES,"Carps, barbels and other cyprinids",11
3609,Estuarine crocodile,Crocodylus porosus,"AMPHIBIA, REPTILIA",Crocodiles and alligators,73
3610,Siamese crocodile,Crocodylus siamensis,"AMPHIBIA, REPTILIA",Crocodiles and alligators,73
2624,Yabby crayfish,Cherax destructor,CRUSTACEA,Freshwater crustaceans,41
3148,"Croakers, drums nei",Sciaenidae,PISCES,Miscellaneous coastal fishes,33
12004,West African ladyfish,Elops lacerta,PISCES,Miscellaneous coastal fishes,33
3612,"Momo, boke magai, misu coral",Corallium elatius,INVERTEBRATA AQUATICA,Corals,82
3316,"Ruffs, barrelfishes nei",Centrolophidae,PISCES,Miscellaneous demersal fishes,34
11176,Rudderfish,Centrolophus niger,PISCES,Miscellaneous demersal fishes,34
3560,Cephalopods nei,Cephalopoda,MOLLUSCA,"Squids, cuttlefishes, octopuses",57
